country,continent,year,lifeExp,wavg.lifeExp
Austria,Europe,1972,70.63,68.96460524452912
Austria,Europe,1977,72.17,69.52213371046092
Austria,Europe,1982,73.18,70.06447366587263
Austria,Europe,1987,74.94,70.6943229384822
Austria,Europe,1992,76.04,71.32979673110938
Austria,Europe,1997,77.51,71.99788087393198
Austria,Europe,2002,78.98,72.68498985770474
Austria,Europe,2007,79.829,73.32872175485072
Bahrain,Asia,1952,50.939,50.939
Bahrain,Asia,1957,53.832,52.48715059320268
Bahrain,Asia,1962,56.923,54.256107205921595
Bahrain,Asia,1967,59.923,56.065708639541846
Bahrain,Asia,1972,63.3,57.99832076273197
Bahrain,Asia,1977,65.593,59.943229651175315
Bahrain,Asia,1982,69.052,62.17980531843849
Bahrain,Asia,1987,70.75,64.13378646155142
Bahrain,Asia,1992,72.601,65.91046292720178
Bahrain,Asia,1997,73.925,67.44704452995975
Bahrain,Asia,2002,74.795,68.72356238789854
Bahrain,Asia,2007,75.635,69.8150052057541
Bangladesh,Asia,1952,37.484,37.484
Bangladesh,Asia,1957,39.348,38.4584831015758
Bangladesh,Asia,1962,41.216,39.469081249653115
Bangladesh,Asia,1967,43.453,40.617597893182385
Bangladesh,Asia,1972,45.252,41.753579639660884
Bangladesh,Asia,1977,46.923,42.88001280785667
Bangladesh,Asia,1982,50.009,44.31567142290818
Bangladesh,Asia,1987,52.819,45.874744520165784
Bangladesh,Asia,1992,56.018,47.57171240205026
Bangladesh,Asia,1997,59.412,49.39009585231133
Bangladesh,Asia,2002,62.013,51.214464836308714
Bangladesh,Asia,2007,64.062,52.989281564396144
Belgium,Europe,1952,68,68
Belgium,Europe,1957,69.24,68.62905203731297
Belgium,Europe,1962,70.25,69.18375518135849
Belgium,Europe,1967,70.94,69.64364892535887
Belgium,Europe,1972,71.44,70.02112998586514
Belgium,Europe,1977,72.8,70.50829377990478
Belgium,Europe,1982,73.93,71.02020246997877
Belgium,Europe,1987,75.35,71.58436011193342
Belgium,Europe,1992,76.46,72.15522603465527
Belgium,Europe,1997,77.53,72.72630033296377
Belgium,Europe,2002,78.32,73.26888803224722
Belgium,Europe,2007,79.441,73.81851270920224
Benin,Africa,1952,38.223,38.223
Benin,Africa,1957,40.358,39.34494836041499
Benin,Africa,1962,42.618,40.55609188405992
Benin,Africa,1967,44.885,41.830878565769034
Benin,Africa,1972,47.014,43.13154618913782
Benin,Africa,1977,49.19,44.48592593211689
Benin,Africa,1982,50.904,45.797932536577704
Benin,Africa,1987,52.337,47.05601079813918
Benin,Africa,1992,53.919,48.32042817670905
Benin,Africa,1997,54.777,49.503495708224975
Benin,Africa,2002,54.406,50.361809596895185
Benin,Africa,2007,56.728,51.42856188335357
Bolivia,Americas,1952,40.414,40.414
Bolivia,Americas,1957,41.89,41.19176604862993
Bolivia,Americas,1962,43.428,42.021249535580196
Bolivia,Americas,1967,45.032,42.90732066123238
Bolivia,Americas,1972,46.714,43.85732492489413
Bolivia,Americas,1977,50.023,45.19719992800925
Bolivia,Americas,1982,53.859,46.88142165038083
Bolivia,Americas,1987,57.251,48.696378232848595
Bolivia,Americas,1992,59.957,50.54162628607116
Bolivia,Americas,1997,62.05,52.32087209032007
Bolivia,Americas,2002,63.883,53.998438102835145
Bolivia,Americas,2007,65.554,55.56364165587147
Bosnia and Herzegovina,Europe,1952,53.82,53.82
Bosnia and Herzegovina,Europe,1957,58.45,56.247455258223965
Bosnia and Herzegovina,Europe,1962,61.93,58.31243381076389
Bosnia and Herzegovina,Europe,1967,64.79,60.126516678384505
Bosnia and Herzegovina,Europe,1972,67.45,61.80933152827918
Bosnia and Herzegovina,Europe,1977,69.86,63.398002994301166
Bosnia and Herzegovina,Europe,1982,70.69,64.62102804878054
Bosnia and Herzegovina,Europe,1987,71.14,65.58912952162167
Bosnia and Herzegovina,Europe,1992,72.178,66.426871768607
Bosnia and Herzegovina,Europe,1997,73.244,67.09000360818597
Bosnia and Herzegovina,Europe,2002,74.09,67.79692857023885
Bosnia and Herzegovina,Europe,2007,74.852,68.49817914408477
Botswana,Africa,1952,47.622,47.622
Botswana,Africa,1957,49.618,48.65518888005523
Botswana,Africa,1962,51.52,49.68264968094951
Botswana,Africa,1967,53.298,50.69172196775801
Botswana,Africa,1972,56.024,51.96066376623711
Botswana,Africa,1977,59.319,53.65989730369452
Botswana,Africa,1982,61.484,55.40343400708522
Botswana,Africa,1987,63.622,57.121879110855375
Botswana,Africa,1992,62.745,58.2243087684099
Botswana,Africa,1997,52.556,57.185571268859825
Botswana,Africa,2002,46.634,55.46789322166731
Botswana,Africa,2007,50.728,54.80124229323008
Brazil,Americas,1952,50.917,50.917
Brazil,Americas,1957,53.285,52.18773624077843
Brazil,Americas,1962,55.665,53.52183408325761
Brazil,Americas,1967,57.632,54.78614256336393
Brazil,Americas,1972,59.504,56.0152045864649
Brazil,Americas,1977,61.489,57.263180221224836
Brazil,Americas,1982,63.336,58.50559538219478
Brazil,Americas,1987,65.205,59.74392788278477
Brazil,Americas,1992,67.057,60.971406126670445
Brazil,Americas,1997,69.388,62.26359284978514
Brazil,Americas,2002,71.006,63.49458632632781
Brazil,Americas,2007,72.39,64.64616422892438
Bulgaria,Europe,1952,59.6,59.6
Bulgaria,Europe,1957,66.61,63.19337646790996
Bulgaria,Europe,1962,69.51,65.39986073559992
Bulgaria,Europe,1967,70.42,66.73488126815919
Bulgaria,Europe,1972,70.9,67.6318158439389
Bulgaria,Europe,1977,70.81,68.20682799552175
Bulgaria,Europe,1982,71.08,68.65103705897799
Bulgaria,Europe,1987,71.34,69.01389605791867
Bulgaria,Europe,1992,71.19,69.26463504864122
Bulgaria,Europe,1997,70.32,69.36693662858977
Bulgaria,Europe,2002,72.14,69.60074273288274
Bulgaria,Europe,2007,73.005,69.85461190518652
Burkina Faso,Africa,1952,31.975,31.975
Burkina Faso,Africa,1957,34.906,33.47934804296233
Burkina Faso,Africa,1962,37.814,34.99142715028483
Burkina Faso,Africa,1967,40.697,36.512817848841884
Burkina Faso,Africa,1972,43.591,38.07220450699717
Burkina Faso,Africa,1977,46.137,39.62674904562096
Burkina Faso,Africa,1982,48.122,41.14231899159047
Burkina Faso,Africa,1987,49.557,42.568060931777325
Burkina Faso,Africa,1992,50.26,43.84087430310715
Burkina Faso,Africa,1997,50.324,44.88949525622429
Burkina Faso,Africa,2002,50.65,45.81494855811968
Burkina Faso,Africa,2007,52.295,46.83979182240173
Burundi,Africa,1952,39.031,39.031
Burundi,Africa,1957,40.533,39.81459191619389
Burundi,Africa,1962,42.045,40.63270181538172
Burundi,Africa,1967,43.548,41.48407759388885
Burundi,Africa,1972,44.057,42.092162647982
Burundi,Africa,1977,45.91,42.87206841310789
Burundi,Africa,1982,47.471,43.77417664617576
Burundi,Africa,1987,48.211,44.57283386376965
Burundi,Africa,1992,44.736,44.60047977272543
Burundi,Africa,1997,45.326,44.71039323006048
Burundi,Africa,2002,47.36,45.10262532874807
Burundi,Africa,2007,49.58,45.775644061803
Cambodia,Asia,1952,39.417,39.417
Cambodia,Asia,1957,41.366,40.45266667292309
Cambodia,Asia,1962,43.415,41.57202800132
Cambodia,Asia,1967,45.415,42.73192719107645
Cambodia,Asia,1972,40.317,42.14220973951927
Cambodia,Asia,1977,31.22,40.109046455451214
Cambodia,Asia,1982,50.957,41.871523768303454
Cambodia,Asia,1987,53.914,43.768952037758744
Cambodia,Asia,1992,55.803,45.69909885117072
Cambodia,Asia,1997,56.534,47.39981825778103
Cambodia,Asia,2002,56.752,48.77370580891888
Cambodia,Asia,2007,59.723,50.2888452572925
Cameroon,Africa,1952,38.523,38.523
Cameroon,Africa,1957,40.428,39.507729787086305
Cameroon,Africa,1962,42.643,40.63159470489413
Cameroon,Africa,1967,44.799,41.80514212528517
Cameroon,Africa,1972,47.049,43.052375336124946
Cameroon,Africa,1977,49.355,44.39093858545722
Cameroon,Africa,1982,52.961,46.08750265993775
Cameroon,Africa,1987,54.985,47.75538804780412
Cameroon,Africa,1992,54.314,48.92386525192722
Cameroon,Africa,1997,52.199,49.476214712658965
Cameroon,Africa,2002,49.856,49.53665191810299
Cameroon,Africa,2007,50.43,49.67085377547518
Canada,Americas,1952,68.75,68.75
Canada,Americas,1957,69.96,69.39732846710461
Canada,Americas,1962,71.3,70.10868540874864
Canada,Americas,1967,72.13,70.69642986430117
Canada,Americas,1972,72.88,71.2147163432097
Canada,Americas,1977,74.21,71.82038937875885
Canada,Americas,1982,75.76,72.51525770485368
Canada,Americas,1987,76.86,73.19606382352609
Canada,Americas,1992,77.95,73.88105432237639
Canada,Americas,1997,78.61,74.50890272671592
Canada,Americas,2002,79.77,75.15403421600146
Canada,Americas,2007,80.653,75.77950767955691
Central African Republic,Africa,1952,35.463,35.463
Central African Republic,Africa,1957,37.464,36.50099630474009
Central African Republic,Africa,1962,39.475,37.57785322844654
Central African Republic,Africa,1967,41.478,38.715933439037755
Central African Republic,Africa,1972,43.457,39.87720132035223
Central African Republic,Africa,1977,46.775,41.36697544552111
Central African Republic,Africa,1982,48.295,42.73840590028227
Central African Republic,Africa,1987,50.485,44.171388777653796
Central African Republic,Africa,1992,49.396,45.087653189667286
Central African Republic,Africa,1997,46.066,45.24972139162397
Central African Republic,Africa,2002,43.308,44.9515665099214
Central African Republic,Africa,2007,44.741,44.92163073044528
Chad,Africa,1952,38.092,38.092
Chad,Africa,1957,39.881,39.020563966330045
Chad,Africa,1962,41.716,39.99352527597656
Chad,Africa,1967,43.601,41.025259657283826
Chad,Africa,1972,45.569,42.12410022062587
Chad,Africa,1977,47.383,43.249222687462435
Chad,Africa,1982,49.517,44.45287734196135
Chad,Africa,1987,51.051,45.627643725476446
Chad,Africa,1992,51.724,46.67806639525489
Chad,Africa,1997,51.573,47.502897142270136
Chad,Africa,2002,50.525,48.00003704306366
Chad,Africa,2007,50.651,48.42446615009261
Chile,Americas,1952,54.745,54.745
Chile,Americas,1957,56.074,55.44270048841635
Chile,Americas,1962,57.924,56.36634502587821
Chile,Americas,1967,60.523,57.58380079260176
Chile,Americas,1972,63.441,59.00802888015848
Chile,Americas,1977,67.052,60.69431209932583
Chile,Americas,1982,70.565,62.521621171917
Chile,Americas,1987,72.492,64.18928591752847
Chile,Americas,1992,74.126,65.7203969667688
Chile,Americas,1997,75.816,67.15578028339287
Chile,Americas,2002,77.86,68.5593868399133
Chile,Americas,2007,78.553,69.76965656904078
China,Asia,1952,44,44
China,Asia,1957,50.54896,47.49707553649305
China,Asia,1962,44.50136,46.42446448431933
China,Asia,1967,58.38112,49.87585073640524
China,Asia,1972,63.11888,53.16003307745913
China,Asia,1977,63.96736,55.467144917382655
China,Asia,1982,65.525,57.323442231381584
China,Asia,1987,67.274,58.981974979147424
China,Asia,1992,68.69,60.456731547593016
China,Asia,1997,70.426,61.83477085378187
China,Asia,2002,72.028,63.11693079593858
China,Asia,2007,72.961,64.24593560305847
Colombia,Americas,1952,50.643,50.643
Colombia,Americas,1957,55.118,53.058522925006905
Colombia,Americas,1962,57.863,54.922373513241574
Colombia,Americas,1967,59.963,56.48851121599463
Colombia,Americas,1972,61.623,57.831998447435126
Colombia,Americas,1977,63.837,59.186557745768646
Colombia,Americas,1982,66.653,60.67781162007721
Colombia,Americas,1987,67.768,61.96941284774358
Colombia,Americas,1992,68.421,63.050137113754985
Colombia,Americas,1997,70.313,64.18107730549787
Colombia,Americas,2002,71.682,65.26859463519051
Colombia,Americas,2007,72.889,66.29904245067836
Comoros,Africa,1952,40.715,40.715
Comoros,Africa,1957,42.46,41.63313608156029
Comoros,Africa,1962,44.467,42.684762034099116
Comoros,Africa,1967,46.472,43.806478128052916
Comoros,Africa,1972,48.944,45.111939520792554
Comoros,Africa,1977,50.939,46.4898682219327
Comoros,Africa,1982,52.933,47.86182077454897
Comoros,Africa,1987,54.926,49.235114394224915
Comoros,Africa,1992,57.939,50.82557845383156
Comoros,Africa,1997,60.66,52.54784381456549
Comoros,Africa,2002,62.974,54.31284980327875
Comoros,Africa,2007,65.152,56.08838774970871
"Congo, Dem. Rep.",Africa,1952,39.143,39.143
"Congo, Dem. Rep.",Africa,1957,40.652,39.93507322894446
"Congo, Dem. Rep.",Africa,1962,42.122,40.74588761773162
"Congo, Dem. Rep.",Africa,1967,44.056,41.729521563332476
"Congo, Dem. Rep.",Africa,1972,45.989,42.81705107730547
"Congo, Dem. Rep.",Africa,1977,47.804,43.94968882344469
"Congo, Dem. Rep.",Africa,1982,47.784,44.74775875568674
"Congo, Dem. Rep.",Africa,1987,47.412,45.265110789874086
"Congo, Dem. Rep.",Africa,1992,45.548,45.31764599867271
"Congo, Dem. Rep.",Africa,1997,42.587,44.83812599256502
"Congo, Dem. Rep.",Africa,2002,44.966,44.85974450617289
"Congo, Dem. Rep.",Africa,2007,46.462,45.123696188327756
"Congo, Rep.",Africa,1952,42.111,42.111
"Congo, Rep.",Africa,1957,45.053,43.65211355657387
"Congo, Rep.",Africa,1962,48.435,45.4149101892295
"Congo, Rep.",Africa,1967,52.04,47.35772985093066
"Congo, Rep.",Africa,1972,54.907,49.24446572610905
"Congo, Rep.",Africa,1977,55.625,50.66548693424909
"Congo, Rep.",Africa,1982,56.695,51.89900871401681
"Congo, Rep.",Africa,1987,57.47,52.96977557443447
"Congo, Rep.",Africa,1992,56.433,53.604325379138686
"Congo, Rep.",Africa,1997,52.962,53.49152159130694
"Congo, Rep.",Africa,2002,52.97,53.40146828904955
"Congo, Rep.",Africa,2007,55.322,53.71774487459307
Costa Rica,Americas,1952,57.206,57.206
Costa Rica,Americas,1957,60.026,58.74463428000453
Costa Rica,Americas,1962,62.842,60.37348840417471
Costa Rica,Americas,1967,65.424,61.987123345281
Costa Rica,Americas,1972,67.849,63.56709205227258
Costa Rica,Americas,1977,70.75,65.26575024423006
Costa Rica,Americas,1982,73.45,67.01543087233219
Costa Rica,Americas,1987,74.752,68.54732654962336
Costa Rica,Americas,1992,75.713,69.86067542046608
Costa Rica,Americas,1997,77.26,71.11031643372765
Costa Rica,Americas,2002,78.123,72.20060066182039
Costa Rica,Americas,2007,78.782,73.14527613289304
Cote d'Ivoire,Africa,1952,40.477,40.477
Cote d'Ivoire,Africa,1957,42.469,41.52424870197143
Cote d'Ivoire,Africa,1962,44.93,42.81534349108016
Cote d'Ivoire,Africa,1967,47.35,44.26383719155474
Cote d'Ivoire,Africa,1972,49.801,45.87045004263358
Cote d'Ivoire,Africa,1977,52.374,47.57954791514293
Cote d'Ivoire,Africa,1982,53.983,49.12445300957849
Cote d'Ivoire,Africa,1987,54.655,50.35990092790477
Cote d'Ivoire,Africa,1992,52.044,50.71284607922932
Cote d'Ivoire,Africa,1997,47.991,50.18606283380864
Cote d'Ivoire,Africa,2002,46.832,49.59239755432967
Cote d'Ivoire,Africa,2007,48.328,49.38503532508998
Croatia,Europe,1952,61.21,61.21
Croatia,Europe,1957,64.77,63.014645183807744
Croatia,Europe,1962,67.13,64.41853130720698
Croatia,Europe,1967,68.5,65.47516290162594
Croatia,Europe,1972,69.61,66.33369964201937
Croatia,Europe,1977,70.64,67.08760019599183
Croatia,Europe,1982,70.46,67.59938658907848
Croatia,Europe,1987,71.52,68.12316711451494
Croatia,Europe,1992,72.527,68.64315783647575
Croatia,Europe,1997,73.68,69.16984648463158
Croatia,Europe,2002,74.876,69.71404178824005
Croatia,Europe,2007,75.748,70.24071207075818
Cuba,Americas,1952,59.421,59.421
Cuba,Americas,1957,62.325,60.945660560511726
Cuba,Americas,1962,65.246,62.51308198338917
Cuba,Americas,1967,68.29,64.18984640018596
Cuba,Americas,1972,70.723,65.75455800545333
Cuba,Americas,1977,72.649,67.17142618451555
Cuba,Americas,1982,73.717,68.31155359064728
Cuba,Americas,1987,74.174,69.21507432181619
Cuba,Americas,1992,74.414,69.93755494261936
Cuba,Americas,1997,76.151,70.71174320194058
Cuba,Americas,2002,77.158,71.44002401599961
Cuba,Americas,2007,78.273,72.14416121278943
Czech Republic,Europe,1952,66.87,66.87
Czech Republic,Europe,1957,69.03,67.97251528131346
Czech Republic,Europe,1962,69.9,68.62868854355975
Czech Republic,Europe,1967,70.38,69.08083819844906
Czech Republic,Europe,1972,70.29,69.32949994859925
Czech Republic,Europe,1977,70.71,69.57087828958831
Czech Republic,Europe,1982,70.96,69.78006650569627
Czech Republic,Europe,1987,71.58,70.01580021826992
Czech Republic,Europe,1992,72.4,70.29199177315137
Czech Republic,Europe,1997,74.01,70.67747812481144
Czech Republic,Europe,2002,75.51,71.12967585618397
Czech Republic,Europe,2007,76.486,71.58687448796536
Denmark,Europe,1952,70.78,70.78
Denmark,Europe,1957,71.81,71.30398033129404
Denmark,Europe,1962,72.35,71.66487165159596
Denmark,Europe,1967,72.96,72.00718255056799
Denmark,Europe,1972,73.47,72.32057601130617
Denmark,Europe,1977,74.69,72.74529121803242
Denmark,Europe,1982,74.63,73.03317300443466
Denmark,Europe,1987,74.8,73.26765414809168
Denmark,Europe,1992,75.33,73.5111309176753
Denmark,Europe,1997,76.11,73.79086744112826
Denmark,Europe,2002,77.18,74.12533007983089
Denmark,Europe,2007,78.332,74.50915255164637
Djibouti,Africa,1952,34.812,34.812
Djibouti,Africa,1957,37.328,36.15108974814815
Djibouti,Africa,1962,39.693,37.566890012361156
Djibouti,Africa,1967,42.074,39.19854782917039
Djibouti,Africa,1972,44.366,40.93782678884303
Djibouti,Africa,1977,46.519,42.61714929538179
Djibouti,Africa,1982,48.812,44.39527613578375
Djibouti,Africa,1987,50.04,45.67019056651318
Djibouti,Africa,1992,51.604,46.96446206484222
Djibouti,Africa,1997,53.157,48.15204739949805
Djibouti,Africa,2002,53.373,49.041402279717936
Djibouti,Africa,2007,54.791,49.95527276686263
Dominican Republic,Americas,1952,45.928,45.928
Dominican Republic,Americas,1957,49.828,48.03352369069017
Dominican Republic,Americas,1962,53.459,50.14635591769297
Dominican Republic,Americas,1967,56.751,52.21672336262161
Dominican Republic,Americas,1972,59.631,54.18588739883199
Dominican Republic,Americas,1977,61.788,55.946931402583196
Dominican Republic,Americas,1982,63.727,57.555899673903895
Dominican Republic,Americas,1987,66.046,59.1468983790375
Dominican Republic,Americas,1992,68.457,60.7435048637771
Dominican Republic,Americas,1997,69.957,62.19139756486757
Dominican Republic,Americas,2002,70.847,63.4495949214323
Dominican Republic,Americas,2007,72.235,64.63917206293237
Ecuador,Americas,1952,48.357,48.357
Ecuador,Americas,1957,51.356,49.95695738410425
Ecuador,Americas,1962,54.64,51.74106593101305
Ecuador,Americas,1967,56.678,53.2544744303018
Ecuador,Americas,1972,58.796,54.70760731213926
Ecuador,Americas,1977,61.31,56.24306404373001
Ecuador,Americas,1982,64.342,57.95124771065591
Ecuador,Americas,1987,67.231,59.751228864867834
Ecuador,Americas,1992,69.613,61.519097528581085
Ecuador,Americas,1997,72.312,63.307925804668415
Ecuador,Americas,2002,74.173,64.96364123528986
Ecuador,Americas,2007,74.994,66.3637296810014
Egypt,Africa,1952,41.893,41.893
Egypt,Africa,1957,44.444,43.2437459139522
Egypt,Africa,1962,46.992,44.64416786744736
Egypt,Africa,1967,49.293,46.019496081584535
Egypt,Africa,1972,51.137,47.27484079478676
Egypt,Africa,1977,53.319,48.57225813171236
Egypt,Africa,1982,56.006,50.07246061413292
Egypt,Africa,1987,59.797,51.911718064100945
Egypt,Africa,1992,63.674,53.97546299409923
Egypt,Africa,1997,67.217,56.1393570100014
Egypt,Africa,2002,69.806,58.23542026141329
Egypt,Africa,2007,71.338,60.11921551329598
El Salvador,Americas,1952,45.262,45.262
El Salvador,Americas,1957,48.57,47.03367256011476
El Salvador,Americas,1962,52.307,49.0612025664265
El Salvador,Americas,1967,55.855,51.17732648745327
El Salvador,Americas,1972,58.207,53.05795166252922
El Salvador,Americas,1977,56.696,53.902283020064246
El Salvador,Americas,1982,56.604,54.42958706022415
El Salvador,Americas,1987,63.154,55.95085257671632
El Salvador,Americas,1992,66.798,57.682303025506
El Salvador,Americas,1997,69.535,59.44776807781244
El Salvador,Americas,2002,70.734,61.03489874696583
El Salvador,Americas,2007,71.878,62.47860302870053
Equatorial Guinea,Africa,1952,34.482,34.482
Equatorial Guinea,Africa,1957,35.983,35.259121141800364
Equatorial Guinea,Africa,1962,37.485,36.0526110117779
Equatorial Guinea,Africa,1967,38.987,36.84777880642773
Equatorial Guinea,Africa,1972,40.516,37.671271805222986
Equatorial Guinea,Africa,1977,42.024,38.258057237092515
Equatorial Guinea,Africa,1982,43.662,39.15775158669202
Equatorial Guinea,Africa,1987,45.664,40.23763739928744
Equatorial Guinea,Africa,1992,47.545,41.3973304266734
Equatorial Guinea,Africa,1997,48.245,42.44206055550624
Equatorial Guinea,Africa,2002,49.348,43.45489091235129
Equatorial Guinea,Africa,2007,51.579,44.59415804256436
Eritrea,Africa,1952,35.928,35.928
Eritrea,Africa,1957,38.047,37.02440588474228
Eritrea,Africa,1962,40.158,38.14801103036173
Eritrea,Africa,1967,42.189,39.28523099580292
Eritrea,Africa,1972,44.142,40.542859735383935
Eritrea,Africa,1977,44.535,41.43519111598764
Eritrea,Africa,1982,43.89,41.90167458994293
Eritrea,Africa,1987,46.453,42.69190727601766
Eritrea,Africa,1992,49.991,44.000439858596316
Eritrea,Africa,1997,53.378,45.552452198616116
Eritrea,Africa,2002,55.24,47.03051380343742
Eritrea,Africa,2007,58.04,48.626696621465456
Ethiopia,Africa,1952,34.078,34.078
Ethiopia,Africa,1957,36.667,35.430433236687286
Ethiopia,Africa,1962,40.059,37.121566254371224
Ethiopia,Africa,1967,42.115,38.560492061487956
Ethiopia,Africa,1972,43.515,39.756639155619865
Ethiopia,Africa,1977,44.51,40.77194420430085
Ethiopia,Africa,1982,44.916,41.56091186473963
Ethiopia,Africa,1987,46.684,42.466779367007504
Ethiopia,Africa,1992,48.091,43.45894690908911
Ethiopia,Africa,1997,49.402,44.46071343461999
Ethiopia,Africa,2002,50.725,45.46676401527558
Ethiopia,Africa,2007,52.947,46.61235682665729
Finland,Europe,1952,66.55,66.55
Finland,Europe,1957,67.49,67.03304236734209
Finland,Europe,1962,68.75,67.63056688302436
Finland,Europe,1967,69.83,68.20903918451717
Finland,Europe,1972,70.87,68.76638439455412
Finland,Europe,1977,72.52,69.42788881143
Finland,Europe,1982,74.55,70.20740604169117
Finland,Europe,1987,74.83,70.82945406231475
Finland,Europe,1992,75.7,71.41838769715875
Finland,Europe,1997,77.13,72.04468009840947
Finland,Europe,2002,78.37,72.6761541434065
Finland,Europe,2007,79.313,73.28337332418003
France,Europe,1952,67.41,67.41
France,Europe,1957,68.93,68.18621413353128
France,Europe,1962,70.51,69.00406744816239
France,Europe,1967,71.55,69.69193893227717
France,Europe,1972,72.38,70.28318645792291
France,Europe,1977,73.83,70.9371122810215
France,Europe,1982,74.89,71.56480617015495
France,Europe,1987,76.34,72.23154403632707
France,Europe,1992,77.46,72.88968231184614
France,Europe,1997,78.64,73.54498759091327
France,Europe,2002,79.59,74.17569981020318
France,Europe,2007,80.657,74.79874674750879
Gabon,Africa,1952,37.003,37.003
Gabon,Africa,1957,38.999,38.017565564056355
Gabon,Africa,1962,40.489,38.876380959026655
Gabon,Africa,1967,44.598,40.43053286033047
Gabon,Africa,1972,48.69,42.33084598083693
Gabon,Africa,1977,52.79,44.75742577731503
Gabon,Africa,1982,56.564,47.10063891694829
Gabon,Africa,1987,60.19,49.56358292315735
Gabon,Africa,1992,61.366,51.617399867246284
Gabon,Africa,1997,60.461,53.08402304230391
Gabon,Africa,2002,56.761,53.67455965364164
Gabon,Africa,2007,56.735,54.14103850776088
Gambia,Africa,1952,30,30
Gambia,Africa,1957,32.065,31.09849827975044
Gambia,Africa,1962,33.896,32.164552537468545
Gambia,Africa,1967,35.857,33.306761723980934
Gambia,Africa,1972,38.308,34.64107534630355
Gambia,Africa,1977,41.842,36.361164679331054
Gambia,Africa,1982,45.58,38.383337311590715
Gambia,Africa,1987,49.265,40.62937105849158
Gambia,Africa,1992,52.644,43.02815563875414
Gambia,Africa,1997,55.861,45.517100313927344
Gambia,Africa,2002,58.041,47.848969807022435
Gambia,Africa,2007,59.448,49.90654707337295
Germany,Europe,1952,67.5,67.5
Germany,Europe,1957,69.1,68.31069092409297
